product_title,product_vendor,product_type,product_price,day,week,month,quarter,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost
Skate Jawn Downtown Longsleeve- Brown,Town and Country Skateboards,,32.000,2024-08-03,2024-W31,2024-08,2024-07,2024,1,32.000,-4.000,0.000,28.000,2.240,30.240,18.000
WELCOME BARK ON PYSANKA 2 BONE DECK 8.5,Town and Country Skateboards,,65.000,2023-04-16,2023-W15,2023-04,2023-04,2023,1,65.000,0.000,0.000,65.000,5.200,70.200,43.750
"SHAKE JUNT BOLTS PHILIPS 1""",Town and Country Skateboards,,5.500,2023-08-06,2023-W31,2023-08,2023-07,2023,1,5.500,0.000,0.000,5.500,0.440,5.940,2.750
SHOP DECK CURBSIDE BLUE,Town and Country Skateboards,,45.000,2023-06-14,2023-W24,2023-06,2023-04,2023,1,45.000,0.000,0.000,45.000,3.600,48.600,29.000
LAKAI BRIGHTON WHITE/GUM SUEDE,Town and Country Skateboards,,30.000,2023-05-05,2023-W18,2023-05,2023-04,2023,1,30.000,-10.000,0.000,20.000,1.600,21.600,30.000
QUANTUM BEARING SCIENCE VECTOR BEARINGS,Town and Country Skateboards,,20.000,2024-03-21,2024-W12,2024-03,2024-01,2024,1,20.000,-3.000,0.000,17.000,1.360,18.360,10.000
HABITAT  Harbor Unstructured Twill Cap,Town and Country Skateboards,,30.000,2024-10-08,2024-W41,2024-10,2024-10,2024,1,30.000,-2.990,0.000,27.010,2.160,29.170,16.000
NB NUMERIC TIAGO 1010 GREEN,Town and Country Skateboards,,109.990,2023-07-30,2023-W30,2023-07,2023-07,2023,1,109.990,-55.000,0.000,54.990,4.400,59.390,55.000
DAIS “JUMS” Denim,Town and Country Skateboards,pants,75.000,2024-04-07,2024-W14,2024-04,2024-04,2024,1,75.000,-7.500,0.000,67.500,5.400,72.900,40.000
QUANTUM BEARING SCIENCE VECTOR BEARINGS,Town and Country Skateboards,,20.000,2023-11-17,2023-W46,2023-11,2023-10,2023,1,20.000,0.000,0.000,20.000,1.600,21.600,10.000
Recurrence Work Santa Cruz Mens Shirt,Town and Country Skateboards,,55.000,2024-02-29,2024-W09,2024-02,2024-01,2024,1,55.000,-20.000,0.000,35.000,2.800,37.800,30.000
WOOTEN DUO VX DECK 8.5,Town and Country Skateboards,,78.000,2023-05-13,2023-W19,2023-05,2023-04,2023,1,78.000,-78.000,0.000,0.000,0.000,0.000,57.000
Dickies,,,20.000,2024-03-15,2024-W11,2024-03,2024-01,2024,1,20.000,-20.000,0.000,0.000,0.000,0.000,0.000
SPITFIRE FORMULA FOUR CONICAL FULL,Town and Country Skateboards,,38.000,2023-07-25,2023-W30,2023-07,2023-07,2023,1,38.000,0.000,0.000,38.000,3.040,41.040,25.000
"Ace Bolts Phillips 1""",Town and Country Skateboards,,5.000,2024-11-13,2024-W46,2024-11,2024-10,2024,1,5.000,-0.570,0.000,4.430,0.360,4.790,2.500
SNACK JAWN PIT BIKE TEE WHITE,Town and Country Skateboards,,30.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,30.000,-30.000,0.000,0.000,0.000,0.000,16.000
PIG RAILS BLUE,Town and Country Skateboards,,11.000,2023-03-15,2023-W11,2023-03,2023-01,2023,1,11.000,-2.200,0.000,8.800,0.700,9.500,5.500
Ghost,,,3.000,2023-08-15,2023-W33,2023-08,2023-07,2023,1,3.000,0.000,0.000,3.000,0.240,3.240,0.000
Sessss,,,5.000,2023-03-04,2023-W09,2023-03,2023-01,2023,1,5.000,0.000,0.000,5.000,0.000,5.000,0.000
SKATE SESSION,Town and Country Skateboards,,5.000,2023-12-10,2023-W49,2023-12,2023-10,2023,1,5.000,0.000,0.000,5.000,0.000,5.000,0.000
KROOKED KNOX ON THE STREET 8.25 DECK,Town and Country Skateboards,,70.000,2024-07-10,2024-W28,2024-07,2024-07,2024,1,70.000,-8.250,0.000,61.750,4.940,66.690,48.950
SPITFIRE FORMULA FOUR CONICAL FULL,Town and Country Skateboards,,38.000,2023-07-18,2023-W29,2023-07,2023-07,2023,1,38.000,0.000,0.000,38.000,3.040,41.040,25.000
YERBA CLASSIC GOLD,Town and Country Skateboards,,3.500,2024-01-24,2024-W04,2024-01,2024-01,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.080
NB Numeric 272- Black with white,Town and Country Skateboards,shoes,74.990,2024-09-12,2024-W37,2024-09,2024-07,2024,1,74.990,-15.000,0.000,59.990,4.800,64.790,0.000
YERBA CLASSIC GOLD,Town and Country Skateboards,,3.500,2024-10-23,2024-W43,2024-10,2024-10,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.080
SPITFIRE HELL HOUNDS II DARK GREEN HD/SWT L,Town and Country Skateboards,,55.000,2024-01-06,2024-W01,2024-01,2024-01,2024,1,55.000,-16.500,0.000,38.500,3.080,41.580,34.500
Water,,,1.000,2023-03-18,2023-W11,2023-03,2023-01,2023,1,1.000,0.000,0.000,1.000,0.080,1.080,0.000
Snack Wide Wale Carpenter Pants,Town and Country Skateboards,,96.000,2023-11-25,2023-W47,2023-11,2023-10,2023,1,96.000,-48.000,0.000,48.000,3.840,51.840,0.000
Anti eagle 7.8,,,59.000,2023-09-23,2023-W38,2023-09,2023-07,2023,1,59.000,0.000,0.000,59.000,4.720,63.720,0.000
STRANGELOVE 710 STRAWBERRY COUGH CYAN FLOCKED DECK 8.875,Town and Country Skateboards,,85.000,2023-07-17,2023-W29,2023-07,2023-07,2023,1,85.000,0.000,0.000,85.000,0.000,85.000,65.000
"INDEPENDENT HARDWARE BLACK/GOLD 1""",Town and Country Skateboards,,3.000,2024-04-26,2024-W17,2024-04,2024-04,2024,1,3.000,0.000,0.000,3.000,0.000,3.000,1.500
SNOT WHEELS TEAM PINK 53MM,Town and Country Skateboards,,30.000,2023-05-31,2023-W22,2023-05,2023-04,2023,1,30.000,0.000,0.000,30.000,2.400,32.400,18.500
INDEPENDENT GENUINE PARTS STANDARD CYLINDER BUSHINGS SUPER HARD (96A),Town and Country Skateboards,,6.000,2023-07-02,2023-W26,2023-07,2023-07,2023,1,6.000,0.000,0.000,6.000,0.480,6.480,0.000
LAKAI EVO 2.0 XLK GREY/LIME,Town and Country Skateboards,,30.000,2023-09-25,2023-W39,2023-09,2023-07,2023,1,30.000,0.000,0.000,30.000,0.000,30.000,45.000
SPITFIRE FORMULA FOUR RADIAL FULL 97D,Town and Country Skateboards,,38.000,2024-01-02,2024-W01,2024-01,2024-01,2024,1,38.000,0.000,0.000,38.000,3.040,41.040,28.000
ANTI-HERO TEN O'CLOCK SNAPBACK HAT NAVY/YELLOW,Town and Country Skateboards,,25.990,2023-08-27,2023-W34,2023-08,2023-07,2023,1,25.990,-25.990,0.000,0.000,0.000,0.000,15.500
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2023-10-29,2023-W43,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
SHOWDOWN TEE BLACK,Town and Country Skateboards,shirt,25.000,2023-11-16,2023-W46,2023-11,2023-10,2023,1,25.000,0.000,0.000,25.000,2.000,27.000,13.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2023-11-15,2023-W46,2023-11,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
PEPPER STRIPS LOGO SOCK PAIR,Town and Country Skateboards,,12.000,2023-06-16,2023-W24,2023-06,2023-04,2023,1,12.000,-1.200,0.000,10.800,0.860,11.660,5.500
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-04-20,2024-W16,2024-04,2024-04,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
LAKAI EVO 2.0 XLK GREY/LIME,Town and Country Skateboards,,30.000,2023-08-22,2023-W34,2023-08,2023-07,2023,1,30.000,0.000,0.000,30.000,0.000,30.000,45.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-05-19,2024-W20,2024-05,2024-04,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
UMA CODY TALES DECK 8.38,Town and Country Skateboards,,60.000,2023-09-01,2023-W35,2023-09,2023-07,2023,1,60.000,-20.000,0.000,40.000,3.200,43.200,39.000
ERIC DRESSEN BRONSON G3 BEARINGS,Town and Country Skateboards,,20.000,2024-07-24,2024-W30,2024-07,2024-07,2024,1,20.000,0.000,0.000,20.000,1.600,21.600,10.000
"The Story So Far (2) - The Story So Far (LP, Album, Ltd, RP, Bro) (Near Mint (NM or M-))",Pure Noise Records,,24.980,2024-02-27,2024-W09,2024-02,2024-01,2024,1,24.980,0.000,0.000,24.980,2.000,26.980,0.000
NB Numeric 440 High V2- Black with Gum,Town and Country Skateboards,,84.990,2024-10-02,2024-W40,2024-10,2024-10,2024,1,84.990,-25.490,0.000,59.500,2.380,61.880,0.000
OJ SUPER JUICE 60MM 78A GREEN/ORANGE,Town and Country Skateboards,,35.000,2024-07-26,2024-W30,2024-07,2024-07,2024,1,35.000,0.000,0.000,35.000,2.800,37.800,22.000
SNACK MAY 'TRAILCAM' DECK 8.5,Town and Country Skateboards,,65.000,2024-12-17,2024-W51,2024-12,2024-10,2024,1,65.000,0.000,0.000,65.000,5.200,70.200,0.000
CHOCOLATE VANNER CRUISER WHEELS,Town and Country Skateboards,,40.000,2025-01-07,2025-W02,2025-01,2025-01,2025,1,40.000,0.000,0.000,40.000,3.200,43.200,18.000
SPITFIRE FORMULA FOUR SWIRLED CLASSIC 99D (assorted sizes),Town and Country Skateboards,,39.990,2023-04-02,2023-W13,2023-04,2023-04,2023,1,39.990,0.000,0.000,39.990,3.200,43.190,27.350
ACE AF1 POLISHED TRUCK 33 (PAIR),Town and Country Skateboards,,60.000,2023-08-08,2023-W32,2023-08,2023-07,2023,1,60.000,0.000,0.000,60.000,4.800,64.800,0.000
NEW BALANCE NUMERIC 425,Town and Country Skateboards,,40.000,2024-04-02,2024-W14,2024-04,2024-04,2024,1,40.000,-20.000,0.000,20.000,1.600,21.600,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-11-23,2023-W47,2023-11,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
NEW BALANCE NUMERIC TIAGO 1010 BLACK,Town and Country Skateboards,,60.000,2023-10-08,2023-W40,2023-10,2023-10,2023,1,60.000,0.000,0.000,60.000,0.000,60.000,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2024-03-02,2024-W09,2024-03,2024-01,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
HUF ENLIGHTENMENT WORK SHORT KHAKI,Town and Country Skateboards,,75.000,2024-08-20,2024-W34,2024-08,2024-07,2024,1,75.000,-7.500,0.000,67.500,2.700,70.200,32.500
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-08-29,2023-W35,2023-08,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
Chips,,,2.000,2023-02-28,2023-W09,2023-02,2023-01,2023,1,2.000,0.000,0.000,2.000,0.160,2.160,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-02-01,2023-W05,2023-02,2023-01,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
PRIME BLANK DECKS 8.0 (ASSORTED STAINS),Town and Country Skateboards,,35.000,2023-10-29,2023-W43,2023-10,2023-10,2023,1,35.000,0.000,0.000,35.000,2.800,37.800,0.000
Stainer,,,20.000,2023-11-11,2023-W45,2023-11,2023-10,2023,1,20.000,0.000,0.000,20.000,1.600,21.600,0.000
Frog Pocket Bug Shirt (Green),Town and Country Skateboards,,70.000,2024-08-29,2024-W35,2024-08,2024-07,2024,1,70.000,-35.000,0.000,35.000,1.400,36.400,57.000
YERBA LEMON,Town and Country Skateboards,,3.500,2024-08-02,2024-W31,2024-08,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
ACE MINI TRUCK HAT,Town and Country Skateboards,,28.000,2023-06-24,2023-W25,2023-06,2023-04,2023,1,28.000,0.000,0.000,28.000,2.240,30.240,16.000
YERBA LEMON,Town and Country Skateboards,,3.500,2024-01-14,2024-W02,2024-01,2024-01,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
SKATE SESSION,Town and Country Skateboards,,10.000,2024-12-28,2024-W52,2024-12,2024-10,2024,1,10.000,0.000,0.000,10.000,0.000,10.000,0.000
Ld,,,8.000,2023-05-06,2023-W18,2023-05,2023-04,2023,1,8.000,0.000,0.000,8.000,0.640,8.640,0.000
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2024-08-07,2024-W32,2024-08,2024-07,2024,1,42.000,-4.200,0.000,37.800,3.020,40.820,28.000
7.50in Micro Logo Creature Complete Skateboard,Town and Country Skateboards,,100.000,2024-07-19,2024-W29,2024-07,2024-07,2024,1,100.000,-13.000,0.000,87.000,6.960,93.960,54.950
Riverside Park Board Wall Shirt,Town and Country Skateboards,,30.000,2024-10-12,2024-W41,2024-10,2024-10,2024,1,30.000,0.000,0.000,30.000,1.200,31.200,0.000
Ld,,,2.000,2023-07-23,2023-W29,2023-07,2023-07,2023,1,2.000,0.000,0.000,2.000,0.160,2.160,0.000
Logo Outline Creature Beanie,Town and Country Skateboards,,22.000,2024-11-29,2024-W48,2024-11,2024-10,2024,1,22.000,-5.500,0.000,16.500,0.660,17.160,11.500
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-09-23,2023-W38,2023-09,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
Skate Membership,Town and Country Skateboards,,30.000,2025-01-16,2025-W03,2025-01,2025-01,2025,1,30.000,0.000,0.000,30.000,0.000,30.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-01-13,2024-W02,2024-01,2024-01,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2023-08-31,2023-W35,2023-08,2023-07,2023,1,42.000,0.000,0.000,42.000,0.000,42.000,28.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-04-12,2024-W15,2024-04,2024-04,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
Riverside Park Board Wall Shirt,Town and Country Skateboards,,30.000,2024-11-24,2024-W47,2024-11,2024-10,2024,1,30.000,0.000,0.000,30.000,0.000,30.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-10-03,2023-W40,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2024-01-09,2024-W02,2024-01,2024-01,2024,1,42.000,0.000,0.000,42.000,3.360,45.360,26.000
Ld,,,2.000,2023-08-02,2023-W31,2023-08,2023-07,2023,1,2.000,0.000,0.000,2.000,0.160,2.160,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-04-26,2024-W17,2024-04,2024-04,2024,1,10.000,0.000,0.000,10.000,0.000,10.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-10-22,2023-W42,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2023-11-25,2023-W47,2023-11,2023-10,2023,1,42.000,-8.400,0.000,33.600,2.680,36.280,28.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-08-28,2024-W35,2024-08,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
Riverside Park Board Wall Shirt,Town and Country Skateboards,,30.000,2024-08-16,2024-W33,2024-08,2024-07,2024,1,30.000,0.000,0.000,30.000,1.200,31.200,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-10-26,2023-W43,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
PIG MULTI PIG C-LINE NATURALS 97A,Town and Country Skateboards,,34.000,2024-12-21,2024-W51,2024-12,2024-10,2024,1,34.000,-4.000,0.000,30.000,2.400,32.400,0.000
Yerb,,,3.000,2023-10-21,2023-W42,2023-10,2023-10,2023,1,3.000,0.000,0.000,3.000,0.240,3.240,0.000
Skate Membership,Town and Country Skateboards,,30.000,2024-03-15,2024-W11,2024-03,2024-01,2024,1,30.000,0.000,0.000,30.000,0.000,30.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-06-05,2024-W23,2024-06,2024-04,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2024-03-20,2024-W12,2024-03,2024-01,2024,1,42.000,-6.300,0.000,35.700,2.860,38.560,26.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-03-29,2024-W13,2024-03,2024-01,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
Riverside Park Board Wall Shirt,Town and Country Skateboards,,30.000,2024-07-21,2024-W29,2024-07,2024-07,2024,1,30.000,0.000,0.000,30.000,1.200,31.200,0.000
Yerb,,,3.000,2023-10-28,2023-W43,2023-10,2023-10,2023,1,3.000,0.000,0.000,3.000,0.240,3.240,0.000
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2023-08-22,2023-W34,2023-08,2023-07,2023,1,42.000,0.000,0.000,42.000,3.360,45.360,26.000
Yerb,,,3.000,2023-10-08,2023-W40,2023-10,2023-10,2023,1,3.000,0.000,0.000,3.000,0.240,3.240,0.000
SNACK CITRUS REVERSIBLE BUCKET HAT,Town and Country Skateboards,,36.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,36.000,-36.000,0.000,0.000,0.000,0.000,19.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-02-16,2024-W07,2024-02,2024-01,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2024-03-06,2024-W10,2024-03,2024-01,2024,1,42.000,-12.730,0.000,29.270,2.340,31.610,26.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-08-14,2024-W33,2024-08,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
ANTI HERO TEAM CLASSIC EAGLE DECK 8.75,Town and Country Skateboards,,40.000,2023-04-06,2023-W14,2023-04,2023-04,2023,1,40.000,0.000,0.000,40.000,0.000,40.000,39.000
Independent Stage 11 Standard Blackout Truck (pair),Town and Country Skateboards,,50.000,2023-03-11,2023-W10,2023-03,2023-01,2023,1,50.000,0.000,0.000,50.000,4.000,54.000,30.500
UMA SUNRISE EVAN DECK 7.625,Town and Country Skateboards,,50.000,2023-07-09,2023-W27,2023-07,2023-07,2023,1,50.000,0.000,0.000,50.000,4.000,54.000,30.000
Gatorade Frost Variety,Town and Country Skateboards,,2.000,2024-04-06,2024-W14,2024-04,2024-04,2024,1,2.000,0.000,0.000,2.000,0.160,2.160,0.900
Gatorade Regular Variety,Town and Country Skateboards,,2.000,2024-04-17,2024-W16,2024-04,2024-04,2024,1,2.000,0.000,0.000,2.000,0.160,2.160,0.900
MEOW HALLEYS COMET DECK 8.25,Town and Country Skateboards,,39.990,2023-06-23,2023-W25,2023-06,2023-04,2023,1,39.990,0.000,0.000,39.990,3.200,43.190,23.990
SHOP DECK CURBSIDE PURPLE,Town and Country Skateboards,,45.000,2023-07-07,2023-W27,2023-07,2023-07,2023,1,45.000,0.000,0.000,45.000,3.600,48.600,30.000
SNACK CULLEN MILES DAVIS DECK 8.5,Town and Country Skateboards,,60.000,2023-05-13,2023-W19,2023-05,2023-04,2023,1,60.000,-60.000,0.000,0.000,0.000,0.000,39.000
SHOP DECK CURBSIDE PURPLE,Town and Country Skateboards,,45.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,45.000,0.000,0.000,45.000,3.600,48.600,30.000
LAKAI TELFORD LOW TAN/BLACK SUEDE,Town and Country Skateboards,,30.000,2024-02-14,2024-W07,2024-02,2024-01,2024,1,30.000,0.000,0.000,30.000,2.400,32.400,40.000
Reynolds’s 11,,,70.000,2023-09-06,2023-W36,2023-09,2023-07,2023,1,70.000,0.000,0.000,70.000,5.600,75.600,0.000
Complete,,,100.000,2024-03-01,2024-W09,2024-03,2024-01,2024,1,100.000,-15.000,0.000,85.000,6.800,91.800,0.000
Genuine Parts 1.50 in Phillips Hardware Black Pk/8 Independent,Town and Country Skateboards,,3.000,2023-07-26,2023-W30,2023-07,2023-07,2023,1,3.000,0.000,0.000,3.000,0.240,3.240,0.970
SNOT WHEELS BOOGERTHANE 53MM,Town and Country Skateboards,,30.000,2024-03-17,2024-W11,2024-03,2024-01,2024,1,30.000,-4.500,0.000,25.500,2.040,27.540,18.500
UMA- ROMAN PABICH PARTICLE MAN DECK (8.38),Town and Country Skateboards,,65.000,2024-07-07,2024-W27,2024-07,2024-07,2024,1,65.000,0.000,0.000,65.000,5.200,70.200,42.000
Boney m,,,2.000,2023-07-16,2023-W28,2023-07,2023-07,2023,1,2.000,0.000,0.000,2.000,0.160,2.160,0.000
SHOP DECK CURBSIDE PURPLE,Town and Country Skateboards,,45.000,2023-08-02,2023-W31,2023-08,2023-07,2023,1,45.000,-4.500,0.000,40.500,3.240,43.740,30.000
Subdued (3) - Over The Hills And Far Away  (LP) (Near Mint (NM or M-)),Roachleg Records,,13.000,2023-11-29,2023-W48,2023-11,2023-10,2023,1,13.000,0.000,0.000,13.000,0.000,13.000,0.000
BONES HARDCORE BUSHING BLACK (ASSORTED HARDNESS),Town and Country Skateboards,,10.000,2023-04-01,2023-W13,2023-04,2023-04,2023,1,10.000,0.000,0.000,10.000,0.800,10.800,5.000
Stuff,,,18.000,2024-06-15,2024-W24,2024-06,2024-04,2024,1,18.000,0.000,0.000,18.000,1.440,19.440,0.000
Gatorade Regular Variety,Town and Country Skateboards,,2.000,2024-04-26,2024-W17,2024-04,2024-04,2024,1,2.000,0.000,0.000,2.000,0.160,2.160,0.900
CHOCOLATE CUTS CLARENDON SS,Town and Country Skateboards,SHIRT,25.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,25.000,-25.000,0.000,0.000,0.000,0.000,0.000
SHOP DECK CURBSIDE PURPLE,Town and Country Skateboards,,45.000,2024-01-14,2024-W02,2024-01,2024-01,2024,1,45.000,-5.000,0.000,40.000,3.200,43.200,30.000
"SHORTY'S PHILIPS BOLTS 1""",Town and Country Skateboards,,4.000,2023-06-03,2023-W22,2023-06,2023-04,2023,1,4.000,0.000,0.000,4.000,0.320,4.320,0.000
SHOP DECK CURBSIDE PURPLE,Town and Country Skateboards,,45.000,2023-06-09,2023-W23,2023-06,2023-04,2023,1,45.000,0.000,0.000,45.000,3.600,48.600,30.000
"SHORTY'S PHILIPS BOLTS 1""",Town and Country Skateboards,,4.000,2023-05-11,2023-W19,2023-05,2023-04,2023,1,4.000,0.000,0.000,4.000,0.320,4.320,0.000
NIMBUS SWEETTOOF GUEST DECK (ASSORTED SIZES),Town and Country Skateboards,,55.000,2023-03-21,2023-W12,2023-03,2023-01,2023,1,55.000,-5.500,0.000,49.500,3.960,53.460,34.000
SNACK- 'ICE MOUNTAIN' DECK 8.5,Town and Country Skateboards,,65.000,2024-11-09,2024-W45,2024-11,2024-10,2024,1,65.000,0.000,0.000,65.000,5.200,70.200,39.000
Genuine Parts 1/8 in Shock Pads Pk/2 Independent,Town and Country Skateboards,,5.000,2023-06-11,2023-W23,2023-06,2023-04,2023,1,5.000,0.000,0.000,5.000,0.400,5.400,1.880
NB Numeric Tom Knox 600,Town and Country Skateboards,,39.990,2024-05-12,2024-W19,2024-05,2024-04,2024,1,39.990,0.000,0.000,39.990,3.200,43.190,0.000
STRANGELOVE FOOT SHEATHS NO SHOW SOCK BLACK,Town and Country Skateboards,,10.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,10.000,-10.000,0.000,0.000,0.000,0.000,5.000
NB Numeric Tom Knox 600,Town and Country Skateboards,,94.990,2024-03-23,2024-W12,2024-03,2024-01,2024,1,94.990,-54.990,0.000,40.000,3.200,43.200,0.000
Bones hardware,,,3.000,2024-03-26,2024-W13,2024-03,2024-01,2024,1,3.000,0.000,0.000,3.000,0.240,3.240,0.000
ALIEN WORKSHOP  AWS Parenthesis Boxer Briefs,Town and Country Skateboards,,12.000,2024-12-29,2024-W52,2024-12,2024-10,2024,1,12.000,-2.400,0.000,9.600,0.380,9.980,6.000
Franky 10.5,,,89.990,2023-08-15,2023-W33,2023-08,2023-07,2023,1,89.990,-26.990,0.000,63.000,5.040,68.040,0.000
HEROIN DEAD TOON QUESTIONS DECK 9.0,Town and Country Skateboards,,65.000,2023-03-24,2023-W12,2023-03,2023-01,2023,1,65.000,0.000,0.000,65.000,5.200,70.200,46.990
Gatorade Regular Variety,Town and Country Skateboards,,2.000,2024-07-14,2024-W28,2024-07,2024-07,2024,1,2.000,0.000,0.000,2.000,0.160,2.160,0.900
FROG SHROOM PSOCKADELIC SOCKS,Town and Country Skateboards,,12.000,2024-12-29,2024-W52,2024-12,2024-10,2024,1,12.000,-2.400,0.000,9.600,0.760,10.360,6.000
AMBITION SNOWSKATES JIB MODEL RED,Town and Country Skateboards,,90.000,2024-01-08,2024-W02,2024-01,2024-01,2024,1,90.000,-30.000,0.000,60.000,4.800,64.800,62.000
CODA x Variety Pool Party,Town and Country Skateboards,,60.000,2024-08-25,2024-W34,2024-08,2024-07,2024,1,60.000,0.000,0.000,60.000,4.800,64.800,0.000
"Shorty's Dooks Riser Pads 1/4""",Town and Country Skateboards,,5.000,2023-06-25,2023-W25,2023-06,2023-04,2023,1,5.000,0.000,0.000,5.000,0.400,5.400,0.000
YERBA ORANGE,Town and Country Skateboards,,3.500,2023-10-28,2023-W43,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
Frog-Argyle Socks,Town and Country Skateboards,,12.000,2024-06-21,2024-W25,2024-06,2024-04,2024,1,12.000,0.000,0.000,12.000,0.480,12.480,6.000
YERBA ORANGE,Town and Country Skateboards,,3.500,2023-09-10,2023-W36,2023-09,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
Skate jawn,,,10.000,2023-03-24,2023-W12,2023-03,2023-01,2023,1,10.000,0.000,0.000,10.000,0.800,10.800,0.000
YERBA ORANGE,Town and Country Skateboards,,3.500,2024-08-10,2024-W32,2024-08,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
STRANGELOVE GOTH PUPPET BLACK TSHIRT,Town and Country Skateboards,shirt,28.000,2023-11-30,2023-W48,2023-11,2023-10,2023,1,28.000,-7.000,0.000,21.000,1.680,22.680,16.000
CLASSIC H SOCK,Town and Country Skateboards,,14.000,2023-12-22,2023-W51,2023-12,2023-10,2023,1,14.000,-2.100,0.000,11.900,0.960,12.860,0.000
Wool Logo Deck,Town and Country Skateboards,,54.990,2023-10-14,2023-W41,2023-10,2023-10,2023,1,54.990,0.000,0.000,54.990,4.400,59.390,0.000
Wool nuts shirt,,,20.000,2023-02-02,2023-W05,2023-02,2023-01,2023,1,20.000,0.000,0.000,20.000,1.600,21.600,0.000
SNACK 'VAPORZ' DECK 8.38,Town and Country Skateboards,,65.000,2024-05-21,2024-W21,2024-05,2024-04,2024,1,65.000,0.000,0.000,65.000,5.200,70.200,39.000
BRONSON G3 JAWS PRO MODEL BEARINGS,Town and Country Skateboards,,20.000,2024-10-11,2024-W41,2024-10,2024-10,2024,1,20.000,0.000,0.000,20.000,1.600,21.600,10.000
