product_title,product_vendor,product_type,product_price,day,week,month,quarter,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost
Gatorade Regular Variety,Town and Country Skateboards,,2.000,2023-11-08,2023-W45,2023-11,2023-10,2023,2,4.000,0.000,0.000,4.000,0.320,4.320,1.800
WATER,Town and Country Skateboards,,1.000,2024-06-30,2024-W26,2024-06,2024-04,2024,2,2.000,0.000,0.000,2.000,0.160,2.160,0.000
YERBA CRANBERRY SPARKLING,Town and Country Skateboards,,3.500,2023-10-11,2023-W41,2023-10,2023-10,2023,2,7.000,0.000,0.000,7.000,0.560,7.560,4.160
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-12-02,2023-W48,2023-12,2023-10,2023,2,7.000,-3.500,0.000,3.500,0.280,3.780,4.500
Skate Membership,Town and Country Skateboards,,30.000,2024-03-21,2024-W12,2024-03,2024-01,2024,2,60.000,0.000,0.000,60.000,2.400,62.400,0.000
WATER,Town and Country Skateboards,,1.000,2024-09-12,2024-W37,2024-09,2024-07,2024,2,2.000,0.000,0.000,2.000,0.160,2.160,0.000
Yerba,,,3.000,2023-08-01,2023-W31,2023-08,2023-07,2023,2,6.000,0.000,0.000,6.000,0.480,6.480,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-10-05,2023-W40,2023-10,2023-10,2023,2,7.000,0.000,0.000,7.000,0.560,7.560,4.500
Gatorade,,,2.000,2023-03-09,2023-W10,2023-03,2023-01,2023,2,4.000,0.000,0.000,4.000,0.320,4.320,0.000
LAKAI GRIFFIN,Town and Country Skateboards,,30.000,2024-03-10,2024-W10,2024-03,2024-01,2024,2,60.000,-20.000,0.000,40.000,3.200,43.200,0.000
Shop Slappy Van Tee Cream,Town and Country Skateboards,,22.990,2024-05-14,2024-W20,2024-05,2024-04,2024,2,45.980,-6.900,0.000,39.080,3.120,42.200,21.760
YERBA LEMON,Town and Country Skateboards,,3.500,2024-02-25,2024-W08,2024-02,2024-01,2024,2,7.000,0.000,0.000,7.000,0.560,7.560,4.500
Gatorade,,,2.000,2023-10-07,2023-W40,2023-10,2023-10,2023,2,4.000,0.000,0.000,4.000,0.320,4.320,0.000
Genuine Parts 1/4 in Risers Pk/2 Independent,Town and Country Skateboards,,3.000,2024-07-18,2024-W29,2024-07,2024-07,2024,2,6.000,0.000,0.000,6.000,0.480,6.480,3.600
Yerba,,,3.000,2023-04-20,2023-W16,2023-04,2023-04,2023,2,6.000,0.000,0.000,6.000,0.480,6.480,0.000
Creeps Foy Tee Pink,Town and Country Skateboards,,30.000,2023-08-27,2023-W34,2023-08,2023-07,2023,2,60.000,-60.000,0.000,0.000,0.000,0.000,14.000
Nora Vasconcellos BRONSON G3 BEARINGS,Town and Country Skateboards,,20.000,2024-10-04,2024-W40,2024-10,2024-10,2024,2,40.000,0.000,0.000,40.000,3.200,43.200,20.000
NETJES BIRDS DECKS (ASSORTED SIZES),Town and Country Skateboards,,45.000,2023-05-12,2023-W19,2023-05,2023-04,2023,2,90.000,0.000,0.000,90.000,7.200,97.200,40.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-04-20,2024-W16,2024-04,2024-04,2024,2,20.000,0.000,0.000,20.000,0.000,20.000,0.000
Yerb,,,3.000,2023-11-11,2023-W45,2023-11,2023-10,2023,2,6.000,0.000,0.000,6.000,0.480,6.480,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2025-01-25,2025-W04,2025-01,2025-01,2025,2,20.000,0.000,0.000,20.000,0.000,20.000,0.000
INDEPENDENT GENUINE PARTS BEARINGS,Town and Country Skateboards,,10.000,2023-05-27,2023-W21,2023-05,2023-04,2023,2,20.000,0.000,0.000,20.000,1.600,21.600,10.000
"PIG RISERS 1/8""",Town and Country Skateboards,,5.000,2023-03-24,2023-W12,2023-03,2023-01,2023,2,10.000,0.000,0.000,10.000,0.800,10.800,0.000
"SHORTY'S PHILIPS BOLTS 1""",Town and Country Skateboards,,4.000,2023-07-25,2023-W30,2023-07,2023-07,2023,2,8.000,0.000,0.000,8.000,0.640,8.640,0.000
SHEET PEPPER GALAXY GRIP,Town and Country Skateboards,,8.000,2024-05-21,2024-W21,2024-05,2024-04,2024,2,16.000,0.000,0.000,16.000,1.280,17.280,12.000
INDEPENDENT STANDARD TRUCK (STAGE 11),Town and Country Skateboards,trucks,42.000,2023-11-10,2023-W45,2023-11,2023-10,2023,2,84.000,0.000,0.000,84.000,3.360,87.360,56.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-04-06,2024-W14,2024-04,2024-04,2024,2,20.000,0.000,0.000,20.000,0.000,20.000,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-11-02,2023-W44,2023-11,2023-10,2023,2,7.000,0.000,0.000,7.000,0.560,7.560,3.500
SKATE SESSION,Town and Country Skateboards,,10.000,2024-07-06,2024-W27,2024-07,2024-07,2024,2,20.000,0.000,0.000,20.000,0.000,20.000,0.000
T&C Shirt,,,25.000,2023-06-17,2023-W24,2023-06,2023-04,2023,2,50.000,0.000,0.000,50.000,4.000,54.000,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-12-22,2024-W51,2024-12,2024-10,2024,2,20.000,0.000,0.000,20.000,0.000,20.000,0.000
NEW BALANCE NUMERIC 306 FOY LIGHTBLUE,Town and Country Skateboards,,30.000,2023-05-22,2023-W21,2023-05,2023-04,2023,2,60.000,0.000,0.000,60.000,2.400,62.400,30.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-04-25,2024-W17,2024-04,2024-04,2024,2,20.000,0.000,0.000,20.000,0.000,20.000,0.000
NEW BALANCE NUMERIC 288,Town and Country Skateboards,,30.000,2023-07-31,2023-W31,2023-07,2023-07,2023,2,60.000,0.000,0.000,60.000,0.000,60.000,60.000
Yerba,,,3.000,2023-06-24,2023-W25,2023-06,2023-04,2023,2,6.000,0.000,0.000,6.000,0.480,6.480,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-12-29,2024-W52,2024-12,2024-10,2024,2,7.000,0.000,0.000,7.000,0.560,7.560,4.500
DICKIES SKATEBOARDING DOUBLE KNEE PANTS (BROWN DUCK),Town and Country Skateboards,,44.990,2023-08-27,2023-W34,2023-08,2023-07,2023,2,89.980,-89.980,0.000,0.000,0.000,0.000,43.500
SKATE SESSION,Town and Country Skateboards,,10.000,2024-06-09,2024-W23,2024-06,2024-04,2024,2,20.000,0.000,0.000,20.000,0.000,20.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-11-29,2023-W48,2023-11,2023-10,2023,2,7.000,0.000,0.000,7.000,0.560,7.560,4.500
PIZZA STONE TEE BLUE M,Town and Country Skateboards,,25.000,2023-08-27,2023-W34,2023-08,2023-07,2023,2,50.000,-50.000,0.000,0.000,0.000,0.000,0.000
BONES REDS BEARINGS,Town and Country Skateboards,,20.000,2024-03-26,2024-W13,2024-03,2024-01,2024,2,40.000,0.000,0.000,40.000,3.200,43.200,19.780
DICKIES SKATEBOARDING REGULAR TWILL PANT BLACK,Town and Country Skateboards,,39.990,2024-09-04,2024-W36,2024-09,2024-07,2024,2,79.980,-59.990,0.000,19.990,1.600,21.590,37.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-09-05,2024-W36,2024-09,2024-07,2024,2,7.000,0.000,0.000,7.000,0.560,7.560,4.500
NEW BALANCE NUMERIC NM288 SMC,Town and Country Skateboards,,20.000,2023-05-07,2023-W18,2023-05,2023-04,2023,2,40.000,0.000,0.000,40.000,0.000,40.000,95.000
BONES REDS BEARINGS,Town and Country Skateboards,,20.000,2023-04-22,2023-W16,2023-04,2023-04,2023,2,40.000,0.000,0.000,40.000,3.200,43.200,19.780
INDEPENDENT STAGE 4 TRUCKS (ASSORTED SIZES),Town and Country Skateboards,,45.000,2023-08-02,2023-W31,2023-08,2023-07,2023,2,90.000,-9.000,0.000,81.000,6.480,87.480,58.000
9in x 33in Sheet Mob Skateboard Grip Tape,Town and Country Skateboards,,6.950,2023-06-21,2023-W25,2023-06,2023-04,2023,2,13.900,-2.780,0.000,11.120,0.880,12.000,6.600
